verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),031,13:30,13:45,0,,7,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),032,13:45,14:00,0,,13,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),033,14:00,14:15,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),034,14:15,14:30,0,,7,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),035,14:30,14:45,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),036,14:45,15:00,0,,7,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),037,15:00,15:15,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),038,15:15,15:30,0,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),039,15:30,15:45,0,,1,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),040,15:45,16:00,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),041,16:00,16:15,0,,5,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),042,16:15,16:30,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),043,16:30,16:45,0,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),044,16:45,17:00,0,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),045,17:00,17:15,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),046,17:15,17:30,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),047,17:30,17:45,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),048,17:45,18:00,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),049,18:00,18:15,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),050,18:15,18:30,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),051,18:30,18:45,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Havelstraße (W),052,18:45,19:00,0,,0,2,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),001,06:00,06:15,2,,3,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),002,06:15,06:30,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),003,06:30,06:45,1,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),004,06:45,07:00,0,,3,1,0,1,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),005,07:00,07:15,0,,4,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),006,07:15,07:30,0,,0,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),007,07:30,07:45,0,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),008,07:45,08:00,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),009,08:00,08:15,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),010,08:15,08:30,0,,1,2,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),011,08:30,08:45,0,,4,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),012,08:45,09:00,0,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),013,09:00,09:15,0,,1,0,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),014,09:15,09:30,0,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),015,09:30,09:45,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),016,09:45,10:00,1,,3,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),017,10:00,10:15,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),018,10:15,10:30,0,,0,2,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),019,10:30,10:45,0,,2,0,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),020,10:45,11:00,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),021,11:00,11:15,2,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),022,11:15,11:30,0,,2,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),023,11:30,11:45,0,,4,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),024,11:45,12:00,0,,3,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),025,12:00,12:15,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),026,12:15,12:30,0,,0,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),027,12:30,12:45,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),028,12:45,13:00,3,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),029,13:00,13:15,0,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),030,13:15,13:30,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),031,13:30,13:45,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),032,13:45,14:00,0,,4,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),033,14:00,14:15,0,,6,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),034,14:15,14:30,0,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),035,14:30,14:45,0,,5,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),036,14:45,15:00,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),037,15:00,15:15,2,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),038,15:15,15:30,0,,4,0,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),039,15:30,15:45,0,,0,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),040,15:45,16:00,0,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),041,16:00,16:15,0,,3,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),042,16:15,16:30,0,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),043,16:30,16:45,0,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),044,16:45,17:00,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),045,17:00,17:15,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),046,17:15,17:30,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),047,17:30,17:45,1,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),048,17:45,18:00,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),049,18:00,18:15,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),050,18:15,18:30,1,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),051,18:30,18:45,0,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Havelstraße (W),052,18:45,19:00,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),001,06:00,06:15,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),002,06:15,06:30,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),003,06:30,06:45,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),004,06:45,07:00,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),005,07:00,07:15,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),006,07:15,07:30,0,,2,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),007,07:30,07:45,0,,1,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),008,07:45,08:00,0,,2,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),009,08:00,08:15,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),010,08:15,08:30,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),011,08:30,08:45,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),012,08:45,09:00,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),013,09:00,09:15,0,,1,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),014,09:15,09:30,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),015,09:30,09:45,0,,1,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),016,09:45,10:00,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),017,10:00,10:15,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),018,10:15,10:30,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),019,10:30,10:45,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),020,10:45,11:00,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),021,11:00,11:15,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),022,11:15,11:30,0,,1,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),023,11:30,11:45,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),024,11:45,12:00,0,,1,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),025,12:00,12:15,0,,1,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),026,12:15,12:30,1,,1,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),027,12:30,12:45,0,,1,1,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),028,12:45,13:00,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),029,13:00,13:15,0,,1,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),030,13:15,13:30,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),031,13:30,13:45,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),032,13:45,14:00,0,,1,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),033,14:00,14:15,0,,0,1,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),034,14:15,14:30,0,,1,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),035,14:30,14:45,0,,3,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),036,14:45,15:00,0,,1,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),037,15:00,15:15,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),038,15:15,15:30,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),039,15:30,15:45,0,,2,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),040,15:45,16:00,0,,1,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),041,16:00,16:15,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),042,16:15,16:30,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),043,16:30,16:45,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),044,16:45,17:00,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),045,17:00,17:15,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),046,17:15,17:30,0,,1,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),047,17:30,17:45,0,,1,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),048,17:45,18:00,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),049,18:00,18:15,0,,1,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),050,18:15,18:30,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),051,18:30,18:45,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Havelstraße (W),052,18:45,19:00,0,,0,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),001,06:00,06:15,0,,0,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),002,06:15,06:30,0,,2,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),003,06:30,06:45,0,,3,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),004,06:45,07:00,0,,0,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),005,07:00,07:15,0,,1,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),006,07:15,07:30,0,,1,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),007,07:30,07:45,0,,1,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),008,07:45,08:00,0,,1,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),009,08:00,08:15,0,,3,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),010,08:15,08:30,1,,2,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),011,08:30,08:45,0,,2,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),012,08:45,09:00,0,,2,0,1,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),013,09:00,09:15,0,,1,1,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),014,09:15,09:30,0,,1,1,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),015,09:30,09:45,0,,2,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),016,09:45,10:00,0,,0,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),017,10:00,10:15,0,,0,1,1,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),018,10:15,10:30,0,,1,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),019,10:30,10:45,0,,0,1,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),020,10:45,11:00,0,,0,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),021,11:00,11:15,0,,0,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),022,11:15,11:30,0,,1,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),023,11:30,11:45,0,,0,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),024,11:45,12:00,0,,1,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),025,12:00,12:15,0,,1,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),026,12:15,12:30,0,,0,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),027,12:30,12:45,0,,2,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),028,12:45,13:00,0,,1,1,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),029,13:00,13:15,0,,0,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),030,13:15,13:30,0,,4,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),031,13:30,13:45,0,,1,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),032,13:45,14:00,0,,1,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),033,14:00,14:15,0,,2,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),034,14:15,14:30,0,,1,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),035,14:30,14:45,0,,0,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),036,14:45,15:00,0,,1,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),037,15:00,15:15,0,,1,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),038,15:15,15:30,0,,1,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),039,15:30,15:45,0,,1,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),040,15:45,16:00,1,,0,1,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),041,16:00,16:15,0,,0,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),042,16:15,16:30,0,,2,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),043,16:30,16:45,0,,0,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),044,16:45,17:00,0,,0,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),045,17:00,17:15,0,,0,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),046,17:15,17:30,0,,1,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),047,17:30,17:45,0,,3,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),048,17:45,18:00,0,,1,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),049,18:00,18:15,0,,0,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),050,18:15,18:30,0,,0,0,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),051,18:30,18:45,0,,0,1,0,0,0
7,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger August-Bebel-Damm(N),052,18:45,19:00,0,,0,0,0,0,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer August-Bebel-Damm (N),001,06:00,06:15,6,,52,1,1,3,1
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer August-Bebel-Damm (N),002,06:15,06:30,3,,93,5,3,2,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer August-Bebel-Damm (N),003,06:30,06:45,6,,60,10,3,2,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer August-Bebel-Damm (N),004,06:45,07:00,5,,76,4,2,0,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer August-Bebel-Damm (N),005,07:00,07:15,3,,64,8,5,0,1
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer August-Bebel-Damm (N),006,07:15,07:30,2,,90,6,8,4,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer August-Bebel-Damm (N),007,07:30,07:45,2,,85,3,5,2,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer August-Bebel-Damm (N),008,07:45,08:00,1,,52,4,3,1,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer August-Bebel-Damm (N),009,08:00,08:15,3,,70,8,7,3,0
